SiteUUID,PODorPOUSite,Longitude,Latitude
KSwr_S10470,POD,-100.2165,37.76474
KSwr_S10471,POD,-101.5933,39.78212
KSwr_S10472,POD,-101.5982,39.78112
KSwr_S10473,POD,-101.3183,37.14115
KSwr_S10473,POD,-101.3183,37.14115
KSwr_S10474,POD,-101.3343,39.35814
KSwr_S10475,POD,-100.6531,39.29612
KSwr_S10476,POD,-101.1212,39.76055
KSwr_S10477,POD,-98.34595,37.50526
KSwr_S10478,POD,-98.95353,37.93814
KSwr_S10479,POD,-100.9473,38.44843
KSwr_S1048,POD,-98.53252,39.49263
KSwr_S10480,POD,-96.87582,39.0724
KSwr_S10481,POD,-99.55945,37.88999
KSwr_S10481,POD,-99.55945,37.88999
KSwr_S10482,POD,-99.55888,37.88971
