index,SiteUUID,RegulatoryOverlayUUIDs,WaterSourceUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
154,NDwr_S153,,NDwr_WS2,,Unspecified,Williams,4326,,,,,48.25734,-103.65555,,,POD,Unspecified,15510110DC,,Surface Water,ND,
155,NDwr_S154,,NDwr_WS2,,Unspecified,Adams,4326,,,,,45.95776,-102.93057,,,POD,Unspecified,12909834BB,,Surface Water,ND,
156,NDwr_S155,,NDwr_WS2,,Unspecified,McKenzie,4326,,,,,47.69795,-103.26443,,,POD,Unspecified,14909830AD,,Surface Water,ND,
157,NDwr_S156,,NDwr_WS2,,Unspecified,McKenzie,4326,,,,,47.69796,-103.26978,,,POD,Unspecified,14909830AC,,Surface Water,ND,
158,NDwr_S157,,NDwr_WS2,,Unspecified,McKenzie,4326,,,,,47.70159,-103.26444,,,POD,Unspecified,14909830AA,,Surface Water,ND,
159,NDwr_S158,,NDwr_WS2,,Unspecified,McKenzie,4326,,,,,47.70158,-103.26978,,,POD,Unspecified,14909830AB,,Surface Water,ND,
160,NDwr_S159,,NDwr_WS2,,Unspecified,Stutsman,4326,,,,,46.89007,-98.6893,,,POD,Unspecified,13906306BB,,Surface Water,ND,
161,NDwr_S160,,NDwr_WS2,,Unspecified,Stutsman,4326,,,,,46.89007,-98.68417,,,POD,Unspecified,13906306BA,,Surface Water,ND,
162,NDwr_S161,,NDwr_WS2,,Unspecified,Adams,4326,,,,,46.04479,-102.96179,,,POD,Unspecified,13009832AB,,Surface Water,ND,
163,NDwr_S162,,NDwr_WS2,,Unspecified,Adams,4326,,,,,46.0339,-102.9618,,,POD,Unspecified,13009832DC,,Surface Water,ND,
164,NDwr_S163,,NDwr_WS2,,Unspecified,McKenzie,4326,,,,,47.83886,-103.22722,,,POD,Unspecified,15009804DB,,Surface Water,ND,
