SiteUUID,RegulatoryOverlayUUIDs,WaterSourceUUIDs,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
NDssdw_S14309506DA,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Dunn,4326,,,,,47.23241641,-102.7602651,,,POD,Wade Blank,14309506DA,,WaDE Blank,ND,
NDssdw_S14309506DADD,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Dunn,4326,,,,,47.23107,-102.75833,,,POD,Wade Blank,14309506DADD,,WaDE Blank,ND,
NDssdw_S14309506DB,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Dunn,4326,,,,,47.23242,-102.76547,,,POD,Wade Blank,14309506DB,,WaDE Blank,ND,
NDssdw_S14309506DD,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Dunn,4326,,,,,47.22883,-102.76029,,,POD,Wade Blank,14309506DD,,WaDE Blank,ND,
NDssdw_S14309526DD,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Dunn,4326,,,,,47.17108,-102.67549,,,POD,Wade Blank,14309526DD,,WaDE Blank,ND,
NDssdw_S14309531A,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Dunn,4326,,,,,47.16549,-102.76282,,,POD,Wade Blank,14309531A,,WaDE Blank,ND,
NDssdw_S14309531C,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Dunn,4326,,,,,47.1582,-102.77323,,,POD,Wade Blank,14309531C,,WaDE Blank,ND,
NDssdw_S14309531D,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Dunn,4326,,,,,47.15822,-102.76288,,,POD,Wade Blank,14309531D,,WaDE Blank,ND,
NDssdw_S14309532A,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Dunn,4326,,,,,47.16553,-102.7418,,,POD,Wade Blank,14309532A,,WaDE Blank,ND,
NDssdw_S14309532AC,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Dunn,4326,,,,,47.16372,-102.74445,,,POD,Wade Blank,14309532AC,,WaDE Blank,ND,
NDssdw_S14309532AD,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Dunn,4326,,,,,47.16372,-102.73915,,,POD,Wade Blank,14309532AD,,WaDE Blank,ND,
NDssdw_S14309532BC,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Dunn,4326,,,,,47.16371,-102.75501,,,POD,Wade Blank,14309532BC,,WaDE Blank,ND,
NDssdw_S14309532BD,,NDssdw_WSwadeID1,WaDE Blank,WaDE Blank,Dunn,4326,,,,,47.16372,-102.74973,,,POD,Wade Blank,14309532BD,,WaDE Blank,ND,
