,The name of the water supplier that the Division of Water Resources uses.,The name of the water supplier that the Division of Water Rights uses.,The name of the water supplier that the Division of Drinking Water uses.,The type of water supplier as defined by the EPA and the Division of Drinking Water.,A unique integer ID that the Division of Water Resources uses to join the suppliers to water use databases and to perform other queries,A unique integer ID that the Division of Water Rights uses to track water suppliers.,A unique string ID that the Division of Drinking Water uses to distinquish water suppliers in their databases,,,,,,,,,,,,,,,,,,
OBJECTID,WRENAME,WRNAME,DWNAME,SYSTEMTYPE,WATERRESID,WRID,DWSYSNUM,WRLINK,WHOLESALER,LABEL,STATE,COUNTY,BASIN,SUBAREA,SUBAREANAM,LANUM,LANAME,ENDYEAR,DATASOURCE,SOURCEDATE,EDITOR,EDITDATE,COLOR4,SHAPE_Length,SHAPE_Area
1163,Jordan Valley Water Conservancy District (Retail),Jordan Valley W. C. D.,Jordan Valley WCD,C,807,1321,UTAH18027,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1321, , ,Utah,Salt Lake,Jordan River,3/1/2001,Salt Lake Valley,03-01-01a,Salt Lake Valley,2018,DWRe/Supplier,2/15/2019 0:00,ADAMCLARK,10/16/2019 0:00,,0.901165316,0.00238929
95,Glen Canyon N.R.A. - Halls Crossing Marina,"National Park Service, Glen Canyon Halls Crossing Marina",Glen Canyon NRA -  Halls Crossing,C,2265,1323,UTAH19046,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1323, , ,Utah,San Juan,West Colorado River,9/3/2002,Lake Powell,09-03-02a,Lake Powell WColo,2018,DWRe/DWRi/Supplier,7/31/2019 0:00,ADAMCLARK,10/16/2019 0:00,,0.102621341,0.000651728
221,Hyde Park City Water System,Hyde Park Culinary Water System,Hyde Park City Water System,C,103,1324,UTAH03007,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1324, , ,Utah,Cache,Bear River,1/1/2004,Cache Valley,01-01-04a,Cache Valley UT,2018, ,,ADAMCLARK,10/16/2019 0:00,,0.280834559,0.001151895
113,Newcastle Water Co.,Newcastle Water Company,New Castle Water Company,C,513,1325,UTAH11013,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1325, , ,Utah,Iron,Cedar/Beaver,6/3/2001,Escalante Desert,06-03-01a,Escalante Desert,2018,DWRe/DWRi/Supplier,4/15/2020 0:00,ADAMCLARK,4/15/2020 0:00,,0.108098517,0.000149034
422,Ophir Canyon Water Association,Ophir Canyon Water Association,Ophir,C,1192,1326,UTAH23006,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1326, , ,Utah,Tooele,West Desert,00-05-01,Rush Valley,00-05-01a,Rush Valley,2018, ,,ADAMCLARK,10/16/2019 0:00,,0.037994294,2.35E-05
262,Ouray Park WID,Ouray Park Water Improvement District,Ouray Park,C,1264,1327,UTAH24014,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1327,Ute Tribe Water System,UTWS,Utah,Uintah,Uintah,7/4/2001,Pelican Lake,07-04-01a,Pelican Lake,2018,AGRC,,ADAMCLARK,10/16/2019 0:00,,0.713021088,0.018381817
400,Riverside - North Garland Water Co.,Riverside - North Garland Water Company,Riverside-North Garland Water Co.,C,48,1328,UTAH02015,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1328, , ,Utah,Box Elder,Bear River,1/1/2006,Tremonton,01-01-06a,Tremonton,2018, ,,ADAMCLARK,10/16/2019 0:00,,0.295230667,0.002171316
321,Oakley Town Water System,Oakley City,Oakley Town Water System,C,1079,1329,UTAH22010,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1329, , ,Utah,Summit,Weber River,2/1/2002,Kamas Valley,02-01-02a,Kamas Valley,2018,AGRC,,ADAMCLARK,10/16/2019 0:00,,0.269813955,0.001953817
223,Ephraim City,Ephraim Municipal Water Department,Ephraim City,C,979,1330,UTAH20011,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1330, , ,Utah,Sanpete,Sevier River,5/1/2000,Gunnison,05-01-00a,Gunnison,2018,DWRe/Supplier,2/24/2020 0:00,ADAMCLARK,2/24/2020 0:00,,0.306066434,0.00138737
210,Millville City Water,Millville City Water,Millville City Water,C,108,1332,UTAH03012,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1332, , ,Utah,Cache,Bear River,1/1/2004,Cache Valley,01-01-04a,Cache Valley UT,2018,DWRe/Supplier,4/10/2018 0:00,ADAMCLARK,10/16/2019 0:00,,0.147381905,0.000543543
381,Woodruff Town Water System,Woodruff Culinary,Woodruff Town Water System,C,762,1333,UTAH17008,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1333, , ,Utah,Rich,Bear River,1/3/2002,Randolph,01-03-02a,Randolph,2018, ,,ADAMCLARK,10/16/2019 0:00,,0.066197736,0.000123204
365,Lakeview Water Co.,Lakeview Water Company,Lakeview Water Company,C,1658,1334,UTAH29024,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1334, , ,Utah,Weber,Weber River,2/1/2008,Ogden Valley,02-01-08a,Ogden Valley,2018,AGRC/DWRe,,ADAMCLARK,10/16/2019 0:00,,0.070100124,0.000169389
35,River View Water Co.,Price Municipal Water System,River View Water Company,NP,222,1335,UTAH04050,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1335, , ,Utah,Carbon,West Colorado River,8/1/2003,Price River,08-01-03a,Price A,1996,DWRe/Supplier,4/7/2020 0:00,ADAMCLARK,4/7/2020 0:00,,0.033699438,6.55E-05
241,Price Municipal Corp.,Price Municipal Water System,Price Municipal Corporation,C,187,1335,UTAH04007,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1335, , ,Utah,Carbon,West Colorado River,8/1/2003,Price River,08-01-03a,Price A,2018,AGRC/DWRe/Supplier,4/7/2020 0:00,ADAMCLARK,4/7/2020 0:00,,0.394702951,0.001836777
359,Uintah Highlands Improvement District,Uintah Highlands Water Improvement District,Uintah Highlands Improvement District,C,1655,1336,UTAH29021,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1336, , ,Utah,Weber,Weber River,2/1/2009,East Shore,02-01-09a,East Shore,2018, ,,ADAMCLARK,10/16/2019 0:00,,0.142535009,0.000474149
330,North Salt Lake Water System,North Salt Lake Municipal System,North Salt Lake,C,278,1338,UTAH06019,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1338, , ,Utah,Davis,Weber River,2/1/2009,East Shore,02-01-09a,East Shore,2018,DWRe/Supplier,2/21/2019 0:00,ADAMCLARK,10/16/2019 0:00,,0.348413894,0.002284287
319,South Salt Lake City Water System,South Salt Lake Culinary Water,South Salt Lake City Water System,C,811,1339,UTAH18032,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1339,Jordan Valley Water Conservancy District,JVWCD,Utah,Salt Lake,Jordan River,3/1/2001,Salt Lake Valley,03-01-01a,Salt Lake Valley,2018, ,,ADAMCLARK,10/16/2019 0:00,,0.186436218,0.001013325
355,South Weber Water System,South Weber City Culinary Water,South Weber Water System,C,270,1340,UTAH06010,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1340, , ,Utah,Davis,Weber River,2/1/2009,East Shore,02-01-09a,East Shore,2018, ,,ADAMCLARK,10/16/2019 0:00,,0.269414591,0.00130831
413,Cornish Town Water System,Cornish Municipal Water System,Cornish Town Water System,C,101,1341,UTAH03005,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1341, , ,Utah,Cache,Bear River,1/1/2004,Cache Valley,01-01-04a,Cache Valley UT,2018, ,,ADAMCLARK,10/16/2019 0:00,,0.245461614,0.001537509
67,Springdale Town Water System,Springdale Culinary Water,Springdale Town Water System,C,1537,1342,UTAH27017,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1342, , ,Utah,Washington,Kanab Creek/Virgin River,10/1/2002,North Fork Virgin,10-01-02a,North Fork Virgin,2018,DWRe,,ADAMCLARK,10/16/2019 0:00,,0.193620571,0.001207469
257,Springville City,Springville Water Department,Springville City,C,1296,1343,UTAH25005,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1343, , ,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,04-01-10d,Spanish Fork,2018,DWRe/Supplier,3/7/2019 0:00,ADAMCLARK,10/16/2019 0:00,,0.611102494,0.004478094
334,Greendale Water Co.,Greendale Water Company,Greendale Water Company,C,232,1344,UTAH05004,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1344, , ,Utah,Daggett,Uintah,7/1/2005,Flaming Gorge Reservoir,07-01-05a,Flaming Gorge Reservoir,2018, ,,ADAMCLARK,10/16/2019 0:00,,0.133641291,0.000934904
11,Carbonville Water Co.,Carbonville Water Company,Carbonville Water Co.,NP,2498,1345,UTAH04002,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1345, , ,Utah,Carbon,West Colorado River,8/1/2003,Price River,08-01-03a,Price A,1996, ,,ADAMCLARK,5/31/2017 0:00,,0.053069484,0.000160929
9,South Price Water Co.,South Price Water Company,South Price Water Company,NP,189,1346,UTAH04009,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1346, , ,Utah,Carbon,West Colorado River,8/1/2003,Price River,08-01-03a,Price A,1996, ,,ADAMCLARK,6/1/2017 0:00,,0.075864606,0.00010022
653,Arches Natl. Pk. - Devils Garden,Arches National Park,Arches NP - Devils Garden,NC,489,1347,UTAH10022,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1347, , ,Utah,Grand,Southeast Colorado River,9/1/2002,Colorado River/Dead Horse,09-01-02a,Dead Horse,2010,DWRe,11/29/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.034638021,2.78E-05
656,Arches National Park HQ,Arches National Park,Arches National Park HQ,NC,488,1347,UTAH10021,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1347, , ,Utah,Grand,Southeast Colorado River,9/1/2002,Colorado River/Dead Horse,09-01-02a,Dead Horse,2010,DWRe,11/29/2016 0:00,ADAMCLARK,5/31/2017 0:00,,0.021768068,1.05E-05
171,Alta Town Water System,Alta Town Water System,Alta Town Water System,C,825,1348,UTAH18049,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1348, , ,Utah,Salt Lake,Jordan River,3/1/2007,Little Cottonwood Creek,03-01-07a,Little Cottonwood Creek,2018, ,,ADAMCLARK,10/16/2019 0:00,,0.203643413,0.001237401
311,Ashley Valley Water & Sewer,Ashley Valley Water & Sewer Improvement District,Ashley Valley W&sid,C,1263,1349,UTAH24013,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1349, , ,Utah,Uintah,Uintah,7/2/2003,Vernal,07-02-03a,Vernal,2018,AGRC,,ADAMCLARK,10/16/2019 0:00,,1.352913965,0.020039163
496,Glen Canyon N.R.A. - Dangling Rope,"National Park Service, Dangling Rope Marina",Glen Canyon NRA - Dangling Rope,C,955,1350,UTAH19061,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1350, , ,Utah,Kane,Southeast Colorado River,9/3/2002,Lake Powell,09-03-02b,Lake Powell SEColo,2018,DWRe,11/8/2016 0:00,ADAMCLARK,2/11/2020 0:00,,0.014268187,1.20E-05
32,Glen Canyon N.R.A. - Hite Marina,"National Park Service, Glen Canyon Hite Marina",Glen Canyon NRA - Hite Marina,NC,947,1351,UTAH19047,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1351, , ,Utah,San Juan,West Colorado River,9/3/2002,Lake Powell,09-03-02a,Lake Powell WColo,2000,DWRe/DWRi/Supplier,7/31/2019 0:00,ADAMCLARK,7/31/2019 0:00,,0.042591851,1.51E-05
160,Aurora City,Aurora Municipal Water System,Aurora City,C,1025,1353,UTAH21002,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1353, , ,Utah,Sevier,Sevier River,5/3/2000,Sevier Bridge,05-03-00a,Sevier Bridge,2018,AGRC/DWRe,,ADAMCLARK,10/16/2019 0:00,,0.134236301,0.000474021
136,Capitol Reef National Park,Capitol Reef National Park,Capitol Reef Nat'l Park,C,1613,1354,UTAH28011,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1354, , ,Utah,Wayne,West Colorado River,8/3/2007,Torrey,08-03-07a,Torrey,2018, ,,ADAMCLARK,10/16/2019 0:00,,0.039533689,4.29E-05
332,Cluff Ward Pipeline Co.,Cluff Ward Pipeline Co.,Cluff Ward Pipeline Co,C,1070,1355,UTAH22001,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1355, , ,Utah,Summit,Weber River,2/1/2002,Kamas Valley,02-01-02a,Kamas Valley,2018, ,,ADAMCLARK,10/16/2019 0:00,,0.152375815,0.000447256
195,Deseret-Oasis SSD,Deseret - Oasis Special Service District,Deseret-oasis,C,696,1358,UTAH14051,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1358, , ,Utah,Millard,Sevier River,5/2/2004,Delta,05-02-04a,Delta,2018, ,,ADAMCLARK,10/16/2019 0:00,,0.281080994,0.000710919
205,WaterPro Inc. (Draper Irrigation Co.),"WaterPro, Inc.",WaterPro Inc.,C,788,1359,UTAH18006,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1359,Jordan Valley Water Conservancy District,JVWCD,Utah,Salt Lake,Jordan River,3/1/2001,Salt Lake Valley,03-01-01a,Salt Lake Valley,2018,DWRe/Supplier,2/15/2019 0:00,ADAMCLARK,10/16/2019 0:00,,0.364461454,0.003365314
446,West Warren - Warren Improvement District,West Warren Improvement District,West Warren Improvement District,C,1710,1360,UTAH29094,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1360, , ,Utah,Weber,Weber River,2/1/2009,East Shore,02-01-09a,East Shore,2018,DWRe,4/10/2018 0:00,ADAMCLARK,10/16/2019 0:00,,0.485317891,0.004188007
259,East Duchesne Culinary WID,East Duchesne Improvement District,East Duchesne Culinary WID,C,333,1362,UTAH07051,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1362,"CUWCD - DV, DCWS, DCWCD", ,Utah,Duchesne,Uintah,7/3/2013,Roosevelt Duchesne,07-03-13a,Roosevelt Duchesne,2018,DWRe/Supplier,5/1/2020 0:00,ADAMCLARK,5/1/2020 0:00,,1.021117076,0.029012435
335,Woods Cross City Water System,Woods Cross Municipal Water System,Woods Cross Water System,C,280,1364,UTAH06021,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1364, , ,Utah,Davis,Weber River,2/1/2009,East Shore,02-01-09a,East Shore,2018,DWRe/Supplier,3/7/2018 0:00,ADAMCLARK,10/16/2019 0:00,,0.186236514,0.00099625
371,Wolf Creek Water and Sewer Improvement District,Wolf Creek Country Club,Wolf Creek Water and Sewer ID,C,1648,1365,UTAH29013,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1365, , ,Utah,Weber,Weber River,2/1/2008,Ogden Valley,02-01-08a,Ogden Valley,2018,DWRe/Supplier,2/15/2019 0:00,ADAMCLARK,10/16/2019 0:00,,0.203693539,0.000842896
187,Shiloah Wells Water Co. (Eskdale),Eskdale Water System,Shiloah Wells Water Co,C,679,1366,UTAH14029,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1366, , ,Utah,Millard,West Desert,00-03-01,Snake Valley,00-03-01a,Snake Valley,2018,DWRe/Supplier,9/3/2019 0:00,ADAMCLARK,10/16/2019 0:00,,0.023095399,3.25E-05
200,Dansie Water Co.,Dansie Water Company,Dansie Water Company,C,791,1367,UTAH18009,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1367,Jordan Valley Water Conservancy District,JVWCD,Utah,Salt Lake,Jordan River,3/1/2001,Salt Lake Valley,03-01-01a,Salt Lake Valley,2018, ,,ADAMCLARK,10/16/2019 0:00,,0.079536379,0.000180463
682,Gorgoza Mutual Water Co.,Gorgoza Mutual Water Company,Gorgoza Mutual Water Co,C,1098,1368,UTAH22030,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1368, , ,Utah,Summit,Weber River,2/1/2006,East Canyon,02-01-06a,East Canyon,2018,Supplier,3/8/2017 0:00,ADAMCLARK,10/16/2019 0:00,,0.13725691,0.000720373
448,High Valley Water Co.,High Valley Water Company,High Valley Water Co,C,1090,1370,UTAH22021,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1370, , ,Utah,Summit,Weber River,2/1/2006,East Canyon,02-01-06a,East Canyon,2018,DWRe/Supplier,8/15/2018 0:00,ADAMCLARK,10/16/2019 0:00,,0.054307652,0.000141528
401,Newton Town Water System,Newton Town Water,Newton Town Water System,C,109,1371,UTAH03013,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1371, , ,Utah,Cache,Bear River,1/1/2004,Cache Valley,01-01-04a,Cache Valley UT,2018, ,,ADAMCLARK,10/16/2019 0:00,,0.119880945,0.000279942
12,Scofield Town,Scofield Town,Scofield Town,NC,188,1372,UTAH04008,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1372, , ,Utah,Carbon,West Colorado River,8/1/2001,Scofield,08-01-01a,Scofield,1996,DWRe/DWRi/Supplier,4/14/2020 0:00,ADAMCLARK,4/15/2020 0:00,,0.059670323,8.31E-05
172,Silver Lake Co.,Silver Lake Company,Silver Lake Company,C,822,1373,UTAH18046,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1373, , ,Utah,Salt Lake,Jordan River,3/1/2006,Big Cottonwood Creek,03-01-06a,Big Cottonwood Creek,2018, ,,ADAMCLARK,10/16/2019 0:00,,0.051790927,0.000100744
175,Silver Fork Pipeline Corp.,Silver Fork Pipeline Corporation,Silver Fork Pipeline Corp,C,809,1374,UTAH18029,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1374, , ,Utah,Salt Lake,Jordan River,3/1/2006,Big Cottonwood Creek,03-01-06a,Big Cottonwood Creek,2018, ,,ADAMCLARK,10/16/2019 0:00,,0.041769317,9.04E-05
669,Vivian Park Homeowners,Vivian Park Homeowners (Public Works),Vivian Park Homeowners,C,1379,1375,UTAH25096,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1375, , ,Utah,Utah,Utah Lake,4/1/2009,Vivian Park,04-01-09a,Vivian Park,2018,DWRe,1/11/2017 0:00,ADAMCLARK,10/16/2019 0:00,,0.019448985,1.17E-05
278,Boundary Spring Water Co.,Boundry Springs Water Users Assoc.,Boundary Spring Water Co.,C,826,1376,UTAH18050,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1376, , ,Utah,Salt Lake,Jordan River,3/1/2001,Salt Lake Valley,03-01-01a,Salt Lake Valley,2018, ,,ADAMCLARK,10/16/2019 0:00,,0.02943803,4.69E-05
343,Richville,Richville Pipeline Company,Richville,C,720,1380,UTAH15012,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1380, , ,Utah,Morgan,Weber River,2/1/2007,Morgan,02-01-07a,Morgan,2018, ,,ADAMCLARK,10/16/2019 0:00,,0.047906451,9.12E-05
410,Goaslind Spring Water Works Co.,Goaslind Spring Water Works Company,Goaslind Spring Water Works Co.,C,110,1381,UTAH03014,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1381, , ,Utah,Cache,Bear River,1/1/2004,Cache Valley,01-01-04a,Cache Valley UT,2018, ,,ADAMCLARK,10/16/2019 0:00,,0.039699319,4.76E-05
131,Antimony Town Water System,Antimony Town Water System,Antimony Water System,C,388,1382,UTAH09001,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1382, , ,Utah,Garfield,Sevier River,5/5/2001,East Fork Sevier,05-05-01a,East Fork Sevier,2018,AGRC/DWRe,,ADAMCLARK,10/16/2019 0:00,,0.346598108,0.00319733
182,Castle Valley SSD - Ferron,Ferron - Castle Valley S.S.D. (Culinary),Ferron - Castle Valley SSD,C,355,1385,UTAH08004,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1385, , ,Utah,Emery,West Colorado River,8/2/2003,Ferron Creek,08-02-03a,Ferron Creek,2018,AGRC/DWRe,,ADAMCLARK,11/7/2019 0:00,,0.277841379,0.000650177
190,Castle Valley SSD - Castle Dale,Castledale - Castle Valley S.S.D (Culinary),Castledale,C,2460,1386,UTAH08001,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1386, , ,Utah,Emery,West Colorado River,8/2/2004,Castle Dale,08-02-04a,Castle Dale,2018,AGRC/DWRe,,ADAMCLARK,11/7/2019 0:00,,0.145419599,0.000591345
198,Castle Valley SSD - Cleveland Water System,Cleveland Water System - Castle Valley S.S.D. (Culinary),Cleveland Water System,C,380,1387,UTAH08039,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1387, , ,Utah,Emery,West Colorado River,8/1/2003,Price River,08-01-03b,Price B,2018,AGRC/DWRe,,ADAMCLARK,11/7/2019 0:00,,0.099883799,0.000238668
159,Castle Valley SSD - Emery,Emery Town - Castle Valley S.S.D. (Culinary),Emery,C,354,1388,UTAH08003,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1388, , ,Utah,Emery,West Colorado River,8/3/2003,Emery,08-03-03a,Emery,2018,AGRC/DWRe,,ADAMCLARK,11/7/2019 0:00,,0.131831316,0.00033304
196,Castle Valley SSD - Huntington,Huntington - Castle Valley S.S.D. (Culinary),Huntington - Castle Valley SSD,C,357,1389,UTAH08006,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1389, , ,Utah,Emery,West Colorado River,8/2/2004,Castle Dale,08-02-04a,Castle Dale,2018,AGRC/DWRe,,ADAMCLARK,11/7/2019 0:00,,0.143806776,0.000637315
192,Castle Valley SSD - Orangeville,Orangeville - Castle Valley S.S.D. (Culinary),Orangeville,C,359,1390,UTAH08008,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1390, , ,Utah,Emery,West Colorado River,8/2/2004,Castle Dale,08-02-04a,Castle Dale,2018,AGRC/DWRe,,ADAMCLARK,11/7/2019 0:00,,0.149244568,0.000392906
322,Mountain Regional Water SSD,Mountain Regional Water SSD,Mtn Regional Water Ssd,C,1186,1391,UTAH22137,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1391, , ,Utah,Summit,Weber River,2/1/2002,Kamas Valley,02-01-02a,Kamas Valley,2018,DWRe,1/5/2018 0:00,ADAMCLARK,10/16/2019 0:00,,1.404955725,0.009528239
683,Community Water Co.,Community Water Company,Community Water Company,C,1081,1392,UTAH22012,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1392, , ,Utah,Summit,Weber River,2/1/2006,East Canyon,02-01-06a,East Canyon,2018,Supplier,3/16/2017 0:00,ADAMCLARK,10/16/2019 0:00,,0.050888468,5.97E-05
325,Summit County Service Area #3,Summit County Service Area #3,Summit Co Service #3,C,1157,1397,UTAH22105,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1397, , ,Utah,Summit,Weber River,2/1/2006,East Canyon,02-01-06a,East Canyon,2018, ,,ADAMCLARK,10/16/2019 0:00,,0.436954245,0.001977446
14,Timberline SSD,Timberline Special Service District,Timberline SSD,NP,1099,1398,UTAH22031,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1398, , ,Utah,Summit,Weber River,2/1/2006,East Canyon,02-01-06a,East Canyon,2001, ,,ADAMCLARK,6/1/2017 0:00,,0.039952075,8.85E-05
309,Woodland South Hills Irrigation,Woodland South Hills Irrigation Co. Inc.,Woodland South Hills Irr.,C,1480,1399,UTAH26052,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1399, , ,Utah,Wasatch,Utah Lake,4/1/2006,Woodland,04-01-06a,Woodland,2018, ,,ADAMCLARK,10/16/2019 0:00,,0.060385544,0.0001379
292,Cedar Hills Town Water System,Town of Cedar Hills,Cedar Hills Town Water System,C,1412,1404,UTAH25137,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1404, , ,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,04-01-10a,American Fork,2018,DWRe,5/31/2017 0:00,ADAMCLARK,10/16/2019 0:00,,0.239317861,0.000749026
249,Woodland Hills City,Woodland Hills,Woodland Hills City,C,1318,1405,UTAH25028,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1405, , ,Utah,Utah,Utah Lake,4/1/2010,Utah Valley,04-01-10d,Spanish Fork,2018, ,,ADAMCLARK,4/8/2020 0:00,,0.132417004,0.000691958
440,Timber Lakes Water SSD,Timberlakes Water Company,Timber Lakes Water SSD,C,1484,1406,UTAH26057,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1406, , ,Utah,Wasatch,Utah Lake,4/1/2007,Provo River Reservoirs,04-01-07a,Provo River Reservoirs,2018, ,,ADAMCLARK,10/16/2019 0:00,,0.262510245,0.003198623
74,Kayenta Water Users Inc.,Kayenta Water User's Association,K.W.U. Inc.,C,1565,1407,UTAH27059,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1407,Washington County Water Conservancy District,WCWCD,Utah,Washington,Kanab Creek/Virgin River,10/1/2005,St. George,10-01-05d,Santa Clara,2018,AGRC/DWRe,,ADAMCLARK,10/16/2019 0:00,,0.159377387,0.000851777
