OrganizationName,RegulatoryOverlayName,ReportingUnitName,DataPublicationDateID
CODWR,UPPER COLORADO RIVER COMPACT,Lasal,10/1/2013
CODWR,ANIMAS-LA PLATA PROJECT COMPACT,Emery,10/1/2013
CODWR,SAN-JUAN RIVER BASIN RIP,San Rafael River,10/1/2013
CODWR,"RIO GRANDE, COLORADO, TIJUANA TREATY",Lower Muddy Creek,10/1/2013
CODWR,COLORADO RIVER COMPACT,East Fork Sevier,10/1/2013
CODWR,UPPER COLORADO RIVER COMPACT,Indian Creek,10/1/2013
CODWR,UCR ENDANGERED FISH RECOVERY PROGRAM,Panguitch,10/1/2013
CODWR,"RIO GRANDE, COLORADO, TIJUANA TREATY",Parowan,10/1/2013
CODWR,COLORADO RIVER COMPACT,Monticello,10/1/2013
CODWR,ASPINALL UNIT OPERATIONS,Blanding,10/1/2013
CODWR,UPPER COLORADO RIVER COMPACT,Lost Creek,10/1/2013
CODWR,UCR ENDANGERED FISH RECOVERY PROGRAM,Morgan,10/1/2013
CODWR,"RIO GRANDE, COLORADO, TIJUANA TREATY",Echo,10/1/2013
CODWR,SOUTH PLATTE RIVER COMPACT,Smith Fork,10/1/2013
CODWR,REPUBLICAN RIVER COMPACT,Crouse Creek,10/1/2013
CODWR,PLATTE RIVER RECOVERY IMPLEMENTATION PROGRAM,North GSL Desert,10/1/2013
CODWR,COLORADO RIVER COMPACT,Henry's Fork,10/1/2013
CODWR,LA PLATA RIVER COMPACT,Flaming Gorge Reservoir,10/1/2013
CODWR,UPPER COLORADO RIVER COMPACT,Antelope Island,10/1/2013
CODWR,ANIMAS-LA PLATA PROJECT COMPACT,Chalk Creek,10/1/2013
CODWR,SAN-JUAN RIVER BASIN RIP,Sheep Creek Lake,10/1/2013
CODWR,"RIO GRANDE, COLORADO, TIJUANA TREATY",East Canyon,10/1/2013
CODWR,COLORADO RIVER COMPACT,Blacks Fork,10/1/2013
CODWR,LA PLATA RIVER COMPACT,Kamas Valley,10/1/2013
CODWR,UPPER COLORADO RIVER COMPACT,Skull Valley,10/1/2013
CODWR,ANIMAS-LA PLATA PROJECT COMPACT,Parley's Creek,10/1/2013
CODWR,SAN-JUAN RIVER BASIN RIP,City Creek,10/1/2013
CODWR,"RIO GRANDE, COLORADO, TIJUANA TREATY",Oakley,10/1/2013
CODWR,ARKANSAS RIVER COMPACT,Emigration Creek,10/1/2013
CODWR,KANSAS VS. COLORADO,Uintah River,10/1/2013
CODWR,SOUTH PLATTE RIVER COMPACT,Big Brush Creek,10/1/2013
CODWR,REPUBLICAN RIVER COMPACT,Whiterocks River,10/1/2013
CODWR,PLATTE RIVER RECOVERY IMPLEMENTATION PROGRAM,Vermillion/Yampa Creek,10/1/2013
CODWR,SOUTH PLATTE RIVER COMPACT,Yellowstone River,10/1/2013
CODWR,REPUBLICAN RIVER COMPACT,Dry Fork,10/1/2013
CODWR,PLATTE RIVER RECOVERY IMPLEMENTATION PROGRAM,Deep Creek,10/1/2013
CODWR,SOUTH PLATTE RIVER COMPACT,Moon Lake,10/1/2013
CODWR,REPUBLICAN RIVER COMPACT,Rock Creek,10/1/2013
CODWR,PLATTE RIVER RECOVERY IMPLEMENTATION PROGRAM,Upper Duchesne River,10/1/2013
CODWR,ARKANSAS RIVER COMPACT,Millcreek,10/1/2013
CODWR,KANSAS VS. COLORADO,Woodland,10/1/2013
CODWR,ARKANSAS RIVER COMPACT,Provo River Reservoirs,10/1/2013
CODWR,KANSAS VS. COLORADO,Roosevelt Duchesne,10/1/2013
CODWR,ARKANSAS RIVER COMPACT,Big Cottonwood Creek,10/1/2013
CODWR,KANSAS VS. COLORADO,Vernal,10/1/2013
CODWR,ARKANSAS RIVER COMPACT,Little Cottonwood Creek,10/1/2013
CODWR,KANSAS VS. COLORADO,Tooele Valley,10/1/2013
CODWR,ARKANSAS RIVER COMPACT,Utah Valley,10/1/2013
CODWR,KANSAS VS. COLORADO,Tabiona,10/1/2013
CODWR,ARKANSAS RIVER COMPACT,Pelican Lake,10/1/2013
CODWR,KANSAS VS. COLORADO,West Fork Duchesne River,10/1/2013
CODWR,ARKANSAS RIVER COMPACT,Salt Lake Valley,10/1/2013
CODWR,KANSAS VS. COLORADO,Wallsburg,10/1/2013
CODWR,ARKANSAS RIVER COMPACT,Fruitland,10/1/2013
CODWR,KANSAS VS. COLORADO,Strawberry Reservoir,10/1/2013
CODWR,ARKANSAS RIVER COMPACT,Vivian Park,10/1/2013
CODWR,KANSAS VS. COLORADO,Starvation Reservoir,10/1/2013
CODWR,ARKANSAS RIVER COMPACT,Ouray,10/1/2013
CODWR,KANSAS VS. COLORADO,Hobble Creek,10/1/2013
CODWR,SOUTH PLATTE RIVER COMPACT,Strawberry River,10/1/2013
CODWR,REPUBLICAN RIVER COMPACT,Desolation Canyon,10/1/2013
CODWR,PLATTE RIVER RECOVERY IMPLEMENTATION PROGRAM,Soldier Summit,10/1/2013
CODWR,RIO GRANDE RIVER COMPACT,Colton,10/1/2013
CODWR,COSTILLA CREEK COMPACT,Levan,10/1/2013
CODWR,"RIO GRANDE, COLORADO, TIJUANA TREATY",Nephi,10/1/2013
CODWR,RIO GRANDE RIVER COMPACT,Mini Maud,10/1/2013
CODWR,COSTILLA CREEK COMPACT,Scofield,10/1/2013
CODWR,"RIO GRANDE, COLORADO, TIJUANA TREATY",White River,10/1/2013
CODWR,RIO GRANDE RIVER COMPACT,South GSL Desert,10/1/2013
CODWR,COSTILLA CREEK COMPACT,Salt Creek,10/1/2013
CODWR,"RIO GRANDE, COLORADO, TIJUANA TREATY",Tule Valley,10/1/2013
CODWR,SOUTH PLATTE RIVER COMPACT,Huntington Creek,10/1/2013
CODWR,REPUBLICAN RIVER COMPACT,Range Creek,10/1/2013
CODWR,PLATTE RIVER RECOVERY IMPLEMENTATION PROGRAM,Fool Creek,10/1/2013
