in_MethodTypeCV,in_VariableSpecificCV,in_WaterSourceTypeCV,in_ReportingUnitName,in_ReportingUnitNativeID,in_ReportingUnitTypeCV,in_ReportYearCV,in_Amount,in_WaterSourceNativeID
Modeled,Annual Groundwater Supply,Groundwater,NIOBRARA,9,Basin,1997,56896,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,NIOBRARA,9,Basin,1998,56837,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,NIOBRARA,9,Basin,1999,59176,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,NIOBRARA,9,Basin,2000,61133,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,NIOBRARA,9,Basin,2001,63487,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,NIOBRARA,9,Basin,2002,63605,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,NIOBRARA,9,Basin,2003,65020,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,NIOBRARA,9,Basin,2004,66634,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,NIOBRARA,9,Basin,2005,70104,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,NIOBRARA,9,Basin,2006,74573,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,NIOBRARA,9,Basin,2007,76529,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,NIOBRARA,9,Basin,2008,79144,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,NIOBRARA,9,Basin,2009,79601,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,NIOBRARA,9,Basin,2010,80217,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,NIOBRARA,9,Basin,2011,81935,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,NIOBRARA,9,Basin,2012,81921,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,PLATTE,10,Basin,1988,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,PLATTE,10,Basin,1989,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,PLATTE,10,Basin,1990,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,PLATTE,10,Basin,1991,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,PLATTE,10,Basin,1992,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,PLATTE,10,Basin,1993,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,PLATTE,10,Basin,1994,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,PLATTE,10,Basin,1995,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,PLATTE,10,Basin,1996,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,PLATTE,10,Basin,1997,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,PLATTE,10,Basin,1998,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,PLATTE,10,Basin,1999,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,PLATTE,10,Basin,2000,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,PLATTE,10,Basin,2001,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,PLATTE,10,Basin,2002,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,PLATTE,10,Basin,2003,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,PLATTE,10,Basin,2004,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,PLATTE,10,Basin,2005,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,PLATTE,10,Basin,2006,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,PLATTE,10,Basin,2007,0,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,PLATTE,10,Basin,2008,0,WaDENE_WS1
