,WaterSourceUUID,WaterSourceNativeID,WaterSourceName,WaterSourceTypeCV,WaterQualityIndicatorCV,GNISFeatureNameCV,Geometry
1795,,,FLETCHER CREEK,GROUND WATER,Fresh,,
1796,,,O P CREEK,GROUND WATER,Fresh,,
1797,,,SKUNK CREEK,GROUND WATER,Fresh,,
1798,,,BASS CREEK,GROUND WATER,Fresh,,
1799,,,PERKONS CREEK,GROUND WATER,Fresh,,
1800,,,EMMA CREEK,GROUND WATER,Fresh,,
1801,,,VIENNA CREEK,GROUND WATER,Fresh,,
1802,,,GOLD RUN CREEK,GROUND WATER,Fresh,,
1803,,,HIGH CREEK,GROUND WATER,Fresh,,
1804,,,ABBOT GULCH CREEK,GROUND WATER,Fresh,,
1805,,,OK GULCH CREEK,GROUND WATER,Fresh,,
1806,,,VIRGINIA GULCH CREEK,GROUND WATER,Fresh,,
1807,,,GARDNER GULCH CREEK,GROUND WATER,Fresh,,
1808,,,BOARDMAN CREEK,GROUND WATER,Fresh,,
1809,,,SHAKE CREEK,GROUND WATER,Fresh,,
1810,,,STEVENS GULCH CREEK,GROUND WATER,Fresh,,
1811,,,VAN GULCH CREEK,GROUND WATER,Fresh,,
1812,,,LITTLE WATER GULCH CREEK,GROUND WATER,Fresh,,
1813,,,SMOKY DOME CANYON,GROUND WATER,Fresh,,
1814,,,BIG WATER GULCH CREEK,GROUND WATER,Fresh,,
1815,,,JUMBO CREEK,THOROUGHBRED CREEK,Fresh,,
1816,,,SPROUT CREEK,GROUND WATER,Fresh,,
1817,,,BREMNER CREEK,GROUND WATER,Fresh,,
1818,,,SALT LOG CREEK,GROUND WATER,Fresh,,
1819,,,IRON MOUNTAIN CREEK,GROUND WATER,Fresh,,
1820,,,COOPER CREEK,GROUND WATER,Fresh,,
1821,,,EAR CREEK,GROUND WATER,Fresh,,
1822,,,MAXFIELD CREEK,LITTLE SPRING CREEK,Fresh,,
1823,,,BALDRIDGE DRAIN,LITTLE SPRING CREEK,Fresh,,
1824,,,ALEXANDER CREEK,LITTLE SPRING CREEK,Fresh,,
1825,,,ISHAM DRAIN,LITTLE JACKS CREEK,Fresh,,
1826,,,PICKET PIN CREEK,CHERRY CREEK,Fresh,,
1827,,,SPRING VALLEY CREEK,JORDAN CREEK,Fresh,,
1828,,,WEATHERBY SPRINGS,UNNAMED STREAM,Fresh,,
1829,,,CUSTER CREEK,UNNAMED STREAM,Fresh,,
1830,,,HULLS GULCH CREEK,UNNAMED STREAMS,Fresh,,
1831,,,DANIELS CREEK,UNNAMED STREAM,Fresh,,
1832,,,SAILOR GULCH CREEK,LITTLE SMITH CREEK,Fresh,,
1833,,,TWIN SISTERS GULCH CREEK,CASTLE CREEK,Fresh,,
1834,,,NETTLE CREEK,ROUGH LAKE,Fresh,,
1835,,,POLSON CREEK,BIG SPRINGS CREEK,Fresh,,
1836,,,ROANHIDE CREEK,UNNAMED STREAM,Fresh,,
1837,,,NORTH INDIAN CREEK,UNNAMED STREAMS,Fresh,,
1838,,,POLE GULCH CREEK,FOSSIL CREEK,Fresh,,
1839,,,BROWNS GULCH CREEK,REYNOLDS CREEK,Fresh,,
1840,,,LYDLE GULCH CREEK,COTTONWOOD CREEK,Fresh,,
1841,,,BRYANS RUN,LITTLE MCBRIDE CREEK,Fresh,,
1842,,,UPPER BLACKS CREEK,SPRING,Fresh,,
1843,,,TURNER GULCH CREEK,GROUND WATER,Fresh,,
1844,,,PIPELINE GULCH CREEK,GROUND WATER,Fresh,,
1845,,,SILVERTON CREEK,GROUND WATER,Fresh,,
1846,,,DARE GULCH CREEK,EAST ALKALI DRAIN,Fresh,,
1847,,,NICHOLS GULCH CREEK,GROUND WATER,Fresh,,
1848,,,THREE FORKS,GROUND WATER,Fresh,,
1849,,,LITTLE PIERCE CREEK,UNNAMED STREAMS,Fresh,,
1850,,,TIPTON CREEK,GROUND WATER,Fresh,,
1851,,,STRAIGHT CREEK,BISWELL CREEK,Fresh,,
1852,,,DUTCH FRANK CREEK,GROUND WATER,Fresh,,
1853,,,FIVE POINTS CREEK,SPRING,Fresh,,
1854,,,WASH CANYON CREEK,GROUND WATER,Fresh,,
1855,,,WORSWICK CREEK,GROUND WATER,Fresh,,
1856,,,GRINDSTONE CREEK,GROUND WATER,Fresh,,
1857,,,ROSETTA CREEK,GROUND WATER,Fresh,,
1858,,,WOOD GULCH CREEK,GROUND WATER,Fresh,,
1859,,,BLIND CANYON CREEK,GROUND WATER,Fresh,,
1860,,,KELLEY CREEK,CLEAR CREEK,Fresh,,
1861,,,WEEKS GULCH CREEK,GROUND WATER,Fresh,,
1862,,,LITTLE SKELETON CREEK,ELBURN SPRING,Fresh,,
1863,,,BURNT LOG CREEK,UNNAMED STREAMS,Fresh,,
1864,,,NARROW CANYON CREEK,UNNAMED STREAMS,Fresh,,
1865,,,HEATHER CREEK,UNNAMED STREAM,Fresh,,
1866,,,GUNSIGHT CREEK,UNNAMED STREAM,Fresh,,
1867,,,HAYPRESS CREEK,RATTLESNAKE CREEK,Fresh,,
1868,,,BARKER CREEK,UNNAMED STREAM,Fresh,,
1869,,,WARBOIS CREEK,COTTONWOOD CREEK,Fresh,,
1870,,,BIRD CREEK,SPRINGS,Fresh,,
1871,,,TIGER CREEK,TIMBER POINT SPRING,Fresh,,
1872,,,SALIX CREEK,SWAMP CREEK,Fresh,,
1873,,,FOX GULCH CREEK,UNNAMED STREAMS,Fresh,,
1874,,,GEM GULCH CREEK,UNNAMED STREAMS,Fresh,,
1875,,,JEFFERSON CREEK,UNNAMED STREAM,Fresh,,
1876,,,MADISON CREEK,UNNAMED STREAM,Fresh,,
1877,,,ADAMS CREEK,KEITHLY CREEK,Fresh,,
1878,,,ELLIS GULCH CREEK,BOULDER CREEK,Fresh,,
1879,,,BELLE CREEK,EAST PINE CREEK,Fresh,,
1880,,,HURD GULCH CREEK,EAST PINE CREEK,Fresh,,
1881,,,MUD SPRINGS,EAST PINE CREEK,Fresh,,
1882,,,DIXIE SLOUGH,EAST PINE CREEK,Fresh,,
1883,,,FARGO WASTEWAY,SPRINGS,Fresh,,
1884,,,CANNON GULCH CREEK,SUMMER CREEK,Fresh,,
1885,,,QUARTZ GULCH CREEK,INDIAN CREEK,Fresh,,
1886,,,BLACKS CREEK,GROUND WATER,Fresh,,
1887,,,BACK SLOUGH,WARM SPRING CREEK,Fresh,,
1888,,,GREGORY GULCH CREEK,WARM SPRING CREEK,Fresh,,
1889,,,JOE DALEY CREEK,WARM SPRING CREEK,Fresh,,
1890,,,DIXIE SPRING NO 2,WARM SPRING CREEK,Fresh,,
1891,,,HAZARD CREEK,WARM SPRING CREEK,Fresh,,
1892,,,NORTHSIDE DRAIN,CHALLIS CREEK,Fresh,,
1893,,,RESERVOIR CREEK,PATTERSON CREEK,Fresh,,
1894,,,JACKASS CREEK,YEARIAN CREEK,Fresh,,
1895,,,PORTER CREEK,BOHANNON CREEK,Fresh,,
1896,,,VAUGHAN GULCH CREEK,BASIN CREEK,Fresh,,
1897,,,KIMBALL GULCH CREEK,BASIN CREEK,Fresh,,
1898,,,HURD CREEK,BILLY CREEK,Fresh,,
1899,,,VAN WYCK CREEK,SPRING,Fresh,,
1900,,,BIG GALLAGHER CREEK,GOOSE CREEK,Fresh,,
1901,,,HANEY SPRING,SPRING CREEK,Fresh,,
1902,,,SCRIVER CREEK,HAZARD LAKE,Fresh,,
1903,,,ROYSTONE HOT SPRINGS,SEAWELL CREEK,Fresh,,
1904,,,PYLE CREEK,SPRING CREEK,Fresh,,
1905,,,SHANKS CREEK,MARTIN CREEK,Fresh,,
1906,,,CONNER CREEK,MARTIN CREEK,Fresh,,
1907,,,CAMPBELL CREEK,SPRINGS,Fresh,,
1908,,,BUNCH CREEK,BAKER GULCH CREEK,Fresh,,
1909,,,HORN CREEK,UNNAMED STREAMS,Fresh,,
1910,,,LONG PINE CREEK,UNNAMED STREAMS,Fresh,,
1911,,,HUCKLEBERRY CREEK,UNNAMED STREAM,Fresh,,
1912,,,CALDERWOOD CREEK,KYLIE CREEK,Fresh,,
1913,,,DEADWOOD RIVER,BILLY CREEK,Fresh,,
1914,,,BERNARD CREEK,SPRING,Fresh,,
1915,,,ROSS CREEK,CLEARWATER RIVER,Fresh,,
1916,,,KESH CREEK,CLEARWATER RIVER,Fresh,,
1917,,,ROAD FORK CREEK,AMERICAN RIVER,Fresh,,
1918,,,ASSAY CREEK,WALL CANYON SPRINGS,Fresh,,
1919,,,WASH CREEK,SPRINGS,Fresh,,
1920,,,BUNCHS CREEK,SPRINGS,Fresh,,
1921,,,LONGS CREEK,UNNAMED STREAM,Fresh,,
1922,,,SHILLING CREEK,SWEETWATER CREEK,Fresh,,
1923,,,COSKI CREEK,STOCKNEY CREEK,Fresh,,
1924,,,OXTAIL CREEK,SPRINGS,Fresh,,
1925,,,GROUND HOG CREEK,MISSION CREEK,Fresh,,
1926,,,DASH CREEK,PHILLIPS DRAW CREEK,Fresh,,
1927,,,BYRAN CREEK,SPRING,Fresh,,
1928,,,WET FOOT CREEK,UNNAMED STREAM,Fresh,,
1929,,,SKULL CREEK,UNNAMED STREAM,Fresh,,
1930,,,WEST FORK CREEK,UNNAMED STREAM,Fresh,,
1931,,,PEACE CREEK,UNNAMED STREAM,Fresh,,
1932,,,VALLEY CREEK,UNNAMED STREAM,Fresh,,
1933,,,ROCKY CANYON CREEK,ST MARIES RIVER,Fresh,,
1934,,,BOOM CREEK,CHOULSON CREEK,Fresh,,
1935,,,POWDERHOUSE GULCH CREEK,WEST FORK MISSION CREEK,Fresh,,
1936,,,WILDCAT CREEK,UNNAMED STREAM,Fresh,,
1937,,,TIE CREEK,COUGAR CREEK,Fresh,,
1938,,,SKID ROAD CREEK,GROUND WATER,Fresh,,
1939,,,PINNEY CREEK,GROUND WATER,Fresh,,
1940,,,BEAR WALLOW CREEK,GROUND WATER,Fresh,,
1941,,,SAGE HEN CREEK,GROUND WATER,Fresh,,
1942,,,GOLD FORK RIVER,GROUND WATER,Fresh,,
1943,,,JOES CREEK,GROUND WATER,Fresh,,
1944,,,HARGRAVE CREEK,SNAKE RIVER,Fresh,,
1945,,,WOODY CREEK,SNAKE RIVER,Fresh,,
1946,,,OLSON CREEK,SKINNER CREEK,Fresh,,
1947,,,HURDY CREEK,DAIRY CANYON CREEK,Fresh,,
1948,,,FAWN CREEK,SPRINGS,Fresh,,
1949,,,TRIPOD CREEK,SNAKE RIVER,Fresh,,
1950,,,MURRAY CREEK,SNAKE RIVER,Fresh,,
1951,,,RENWYCK CREEK,SNAKE RIVER,Fresh,,
1952,,,MUIR CREEK,MINK CREEK,Fresh,,
1953,,,KIMBALL CREEK,UNNAMED STREAM,Fresh,,
1954,,,LEMAH CREEK,FALL RIVER,Fresh,,
1955,,,IDLER CREEK,HENRYS FORK,Fresh,,
1956,,,BLACK LEE CREEK,MYERS CREEK,Fresh,,
1957,,,TYEE CREEK,GROUND WATER,Fresh,,
1958,,,DUSTON CREEK,GROUND WATER,Fresh,,
1959,,,COPELAND CREEK,TETON RIVER,Fresh,,
1960,,,KENNALLY CREEK,GROUND WATER,Fresh,,
1961,,,POWELSON CREEK,SPRINGS,Fresh,,
1962,,,SLOANS CREEK,UNNAMED STREAM,Fresh,,
1963,,,FISHER CREEK,GROUND WATER,Fresh,,
1964,,,COPET CREEK,GROUND WATER,Fresh,,
1965,,,CLOOCHMAN CREEK,GROUND WATER,Fresh,,
1966,,,YOCKWAH CREEK,GROUND WATER,Fresh,,
1967,,,BOX CREEK,GROUND WATER,Fresh,,
1968,,,OUTLET CREEK,GROUND WATER,Fresh,,
1969,,,HENDRICKS CREEK,GROUND WATER,Fresh,,
1970,,,WAGON BAY CREEK,GROUND WATER,Fresh,,
1971,,,DEAD HORSE CREEK,GROUND WATER,Fresh,,
1972,,,CARTWRIGHT CREEK,GROUND WATER,Fresh,,
1973,,,CRUMLEY GULCH CREEK,GROUND WATER,Fresh,,
1974,,,YERGENSON CREEK,GROUND WATER,Fresh,,
1975,,,BRISTOL CREEK,UNNAMED STREAM,Fresh,,
1976,,,CHARTERS CREEK,CEDAR CREEK,Fresh,,
1977,,,JAKES CREEK,SLUG CREEK,Fresh,,
1978,,,CARTWRIGHT CANYON CREEK,SPRINGS,Fresh,,
1979,,,SHORT GULCH CREEK,TOPONCE CREEK,Fresh,,
1980,,,WAGON WHEEL BAY CREEK,TOPONCE CREEK,Fresh,,
1981,,,WILMATHE GULCH CREEK,SPRINGS,Fresh,,
1982,,,LINSON CREEK,TOPONCE CREEK,Fresh,,
1983,,,DRAIN E,TOPONCE CREEK,Fresh,,
1984,,,TARTER GULCH CREEK,TOPONCE CREEK,Fresh,,
1985,,,SOUTH DEADMAN CREEK,BANNOCK CREEK,Fresh,,
1986,,,PADGET CREEK,BANNOCK CREEK,Fresh,,
1987,,,POSTMAN GULCH CREEK,SNAKE RIVER,Fresh,,
1988,,,SULPHUR GULCH CREEK,EDIE CREEK,Fresh,,
1989,,,FENCE CREEK,MIDDLE CREEK,Fresh,,
1990,,,RAE CREEK,MEDICINE LODGE CREEK,Fresh,,
1991,,,SCOUT CREEK,MIDDLE CREEK,Fresh,,
1992,,,GILL SLOUGH,MAHOGANY CREEK,Fresh,,
1993,,,MALONY LAKE,PARSONS CREEK,Fresh,,
1994,,,RICHARDS CREEK,SOUTH LAVA CREEK,Fresh,,
1995,,,HELENDE CREEK,GROUND WATER,Fresh,,
1996,,,SWEET CREEK,GROUND WATER,Fresh,,
1997,,,LITTLE WHITLEY GULCH CREEK,GROUND WATER,Fresh,,
1998,,,HANKS CREEK,GROUND WATER,Fresh,,
1999,,,LITTLE JACKASS CREEK,GROUND WATER,Fresh,,
2000,,,BAILEY SPRING,GROUND WATER,Fresh,,
2001,,,FORT HALL CREEK,GROUND WATER,Fresh,,
2002,,,GROSSEN CREEK,GROUND WATER,Fresh,,
2003,,,SOUTH CRANE CREEK,GROUND WATER,Fresh,,
2004,,,RATTLESNAKE GULCH CREEK,SPRINGS,Fresh,,
2005,,,FINN CREEK,GROUND WATER,Fresh,,
2006,,,DRY BEAVER CREEK,GROUND WATER,Fresh,,
2007,,,FILLY CREEK,GROUND WATER,Fresh,,
2008,,,RAILROAD CREEK,GROUND WATER,Fresh,,
2009,,,TRESTLE CREEK,GROUND WATER,Fresh,,
2010,,,PIN CREEK,GROUND WATER,Fresh,,
2011,,,GAYLORD CREEK,GROUND WATER,Fresh,,
2012,,,JOKER CREEK,GROUND WATER,Fresh,,
2013,,,DEWEY CREEK,GROUND WATER,Fresh,,
2014,,,BENCH CREEK,GROUND WATER,Fresh,,
2015,,,NORTH FORK CREEK,GROUND WATER,Fresh,,
2016,,,WOODLAND CREEK,GROUND WATER,Fresh,,
2017,,,SURPRISE CREEK,GROUND WATER,Fresh,,
2018,,,WEST MILL CREEK,GROUND WATER,Fresh,,
2019,,,LITTLE JOHNSON CREEK,GROUND WATER,Fresh,,
2020,,,HITT CREEK,GROUND WATER,Fresh,,
2021,,,BAR CREEK,GROUND WATER,Fresh,,
2022,,,COOL CREEK,GROUND WATER,Fresh,,
2023,,,GROSSEN CANYON CREEK,GROUND WATER,Fresh,,
2024,,,JUNGLE CREEK,GROUND WATER,Fresh,,
2025,,,MICA CREEK,GROUND WATER,Fresh,,
2026,,,BULL CORRAL CREEK,GROUND WATER,Fresh,,
2027,,,LOST FORK CREEK,GROUND WATER,Fresh,,
2028,,,FOUR BIT CREEK,SPRINGS,Fresh,,
2029,,,STACY CREEK,GROUND WATER,Fresh,,
2030,,,SEID CREEK,GROUND WATER,Fresh,,
2031,,,TAMARACK CREEK,GROUND WATER,Fresh,,
2032,,,SOUTH PINE CREEK,GROUND WATER,Fresh,,
2033,,,DUTCH OVEN GULCH CREEK,GROUND WATER,Fresh,,
2034,,,GRANGER CREEK,GROUND WATER,Fresh,,
2035,,,ROBISON GULCH CREEK,GROUND WATER,Fresh,,
2036,,,TRACTION GULCH CREEK,SPRINGS,Fresh,,
2037,,,TIFF LINDSAY DRAW CREEK,GROUND WATER,Fresh,,
2038,,,ROSS GULCH CREEK,MALAD RIVER,Fresh,,
2039,,,HOPPER CREEK,SPRING,Fresh,,
2040,,,COUGAR CANYON CREEK,THOMPSON CREEK,Fresh,,
2041,,,STAR BUTTE CREEK,UNNAMED STREAM,Fresh,,
2042,,,DEAD MAN GULCH CREEK,GROUND WATER,Fresh,,
2043,,,TOE JAM CANYON CREEK,GROUND WATER,Fresh,,
2044,,,SLOUGH,GROUND WATER,Fresh,,
2045,,,BUTTE CREEK,GROUND WATER,Fresh,,
2046,,,CAVE CREEK,GROUND WATER,Fresh,,
2047,,,BOARD GULCH CREEK,GROUND WATER,Fresh,,
2048,,,EAST BROWNLEE CREEK,GROUND WATER,Fresh,,
2049,,,STURGILL CREEK,GROUND WATER,Fresh,,
2050,,,BENTON CREEK,GROUND WATER,Fresh,,
2051,,,HITCHCOCK GULCH CREEK,GROUND WATER,Fresh,,
2052,,,DEGITS CREEK,INDIAN CREEK,Fresh,,
2053,,,MIDDLE BROWNLEE CREEK,GROUND WATER,Fresh,,
2054,,,WASH PAN CREEK,GROUND WATER,Fresh,,
2055,,,WEST BROWNLEE CREEK,GROUND WATER,Fresh,,
2056,,,NEIL GULCH CREEK,GROUND WATER,Fresh,,
2057,,,BOX GULCH CREEK,GROUND WATER,Fresh,,
2058,,,STEEN CREEK,BIG WOOD RIVER,Fresh,,
2059,,,WESLEY CREEK,BIG WOOD RIVER,Fresh,,
2060,,,MICKEY CREEK,BIG WOOD RIVER,Fresh,,
2061,,,HOO HOO GULCH CREEK,GROUND WATER,Fresh,,
2062,,,SLIM CREEK,GROUND WATER,Fresh,,
2063,,,LITTLE BEAR CREEK,GROUND WATER,Fresh,,
2064,,,BESSIE GULCH CREEK,GROUND WATER,Fresh,,
2065,,,BUTTERFIELD GULCH CREEK,GROUND WATER,Fresh,,
2066,,,GLADHEART GULCH CREEK,GROUND WATER,Fresh,,
2067,,,DOE CREEK,MAHOGANY SPRINGS,Fresh,,
2068,,,HUNTLEY GULCH CREEK,MAHOGANY SPRINGS,Fresh,,
2069,,,LADDER CREEK,ORANGEBURG SPRING,Fresh,,
2070,,,GARNET CREEK,ORANGEBURG SPRING,Fresh,,
2071,,,DICK ROSS CREEK,GROUND WATER,Fresh,,
2072,,,MOONSHINE CREEK,GROUND WATER,Fresh,,
2073,,,BISBEE CREEK,GROUND WATER,Fresh,,
2074,,,EDNA MAY CREEK,LAKE CLEVELAND,Fresh,,
2075,,,WILLY MAY CREEK,SPRINGS,Fresh,,
2076,,,GALENA CREEK,UNNAMED STREAM,Fresh,,
2077,,,STARVEOUT CREEK,SPRINGS,Fresh,,
2078,,,DUKES CREEK,GROUND WATER,Fresh,,
2079,,,MYRA TREE CREEK,DEVIL CREEK,Fresh,,
2080,,,JACOBS LADDER CREEK,GROUND WATER,Fresh,,
2081,,,WILLIAMSON CREEK,GROUND WATER,Fresh,,
2082,,,SCORPION CREEK,DEVIL CREEK,Fresh,,
2083,,,BLUE JAY GULCH CREEK,GROUND WATER,Fresh,,
2084,,,SUMAC CREEK,GROUND WATER,Fresh,,
2085,,,GOLDEN GOOSE CANYON CREEK,GROUND WATER,Fresh,,
2086,,,TARTAR GULCH CREEK,GROUND WATER,Fresh,,
2087,,,COW CAMP SPRING,UNNAMED STREAMS,Fresh,,
2088,,,CHAMPION CREEK,DEADWOOD CREEK,Fresh,,
2089,,,MC GOWN CREEK,DEADWOOD CREEK,Fresh,,
2090,,,HANNA CREEK,GROUND WATER,Fresh,,
2091,,,FRENCHMAN CREEK,GROUND WATER,Fresh,,
2092,,,SMILEY CREEK,GROUND WATER,Fresh,,
2093,,,VAT CREEK,SPRINGS,Fresh,,
2094,,,ALTURAS LAKE CREEK,UNNAMED STREAMS,Fresh,,
2095,,,GOLD CREEK,SQUAW CREEK,Fresh,,
2096,,,CLUB CANYON CREEK,JACKSON CREEK,Fresh,,
2097,,,MILKY CREEK,SPRING,Fresh,,
2098,,,JOB CREEK,JUNIPER CREEK,Fresh,,
2099,,,MARSHALL LAKE FORK,JUNIPER CREEK,Fresh,,
2100,,,PARK CREEK,JACKSON CREEK,Fresh,,
2101,,,PHILPS SLOUGH,SHOOFLY CREEK,Fresh,,
2102,,,VAN HORN CREEK,BLUE CREEK,Fresh,,
2103,,,BOWERY CREEK,SHOOFLY CREEK,Fresh,,
2104,,,YANKEE FORK,JACKSON CREEK,Fresh,,
2105,,,LITTLE BASIN CREEK,JACKSON CREEK,Fresh,,
2106,,,MULEY CREEK,SPRINGS,Fresh,,
2107,,,EAST PASS CREEK,JACKSON CREEK,Fresh,,
2108,,,HERD CREEK,SHOOFLY CREEK,Fresh,,
2109,,,KINNIKINIC CREEK,UNNAMED STREAM,Fresh,,
2110,,,GERMANIA CREEK,UNNAMED STREAM,Fresh,,
2111,,,LITTLE BOULDER CREEK,GROUND WATER,Fresh,,
2112,,,BLUETT CREEK,SPRINGS,Fresh,,
2113,,,BIG LAKE CREEK,BENNETT CREEK,Fresh,,
2114,,,HOLMAN CREEK,WARM SPRINGS CREEK,Fresh,,
2115,,,LITTLE CASINO CREEK,GROUND WATER,Fresh,,
2116,,,FOUR ACES CREEK,GROUND WATER,Fresh,,
2117,,,BLOCK CREEK,BENNETT CREEK,Fresh,,
2118,,,SPRING GULCH CREEK,BENNETT CREEK,Fresh,,
2119,,,ELLIS CREEK,BENNETT CREEK,Fresh,,
2120,,,JEFFS CREEK,COLD SPRINGS CREEK,Fresh,,
2121,,,JOHN GULCH CREEK,BENNETT CREEK,Fresh,,
2122,,,SINK CREEK,BENNETT CREEK,Fresh,,
2123,,,LYON CREEK,GROUND WATER,Fresh,,
2124,,,PAT HUGHES CREEK,GROUND WATER,Fresh,,
2125,,,POTAMAN CREEK,GROUND WATER,Fresh,,
2126,,,JIMMY SMITH CREEK,GROUND WATER,Fresh,,
2127,,,HORSE BASIN CREEK,GROUND WATER,Fresh,,
2128,,,CORRAL BASIN CREEK,GROUND WATER,Fresh,,
2129,,,MOSQUITO CREEK,CHARCOAL CREEK,Fresh,,
2130,,,BROKEN WAGON CREEK,UNNAMED STREAMS,Fresh,,
2131,,,HELL CANYON CREEK,GROUND WATER,Fresh,,
2132,,,SHEP CREEK,GROUND WATER,Fresh,,
2133,,,SPLIT HOOF SPRING,GROUND WATER,Fresh,,
2134,,,SILVER RULE CREEK,GROUND WATER,Fresh,,
2135,,,LYNCH CREEK,GROUND WATER,Fresh,,
2136,,,EAST FORK SALMON RIVER,GROUND WATER,Fresh,,
2137,,,TEWALT SLOUGH,GROUND WATER,Fresh,,
2138,,,JOE JUMP SPRING,GROUND WATER,Fresh,,
2139,,,MUD SPRING CREEK,SPRINGS,Fresh,,
2140,,,SULPHUR CREEK,GROUND WATER,Fresh,,
2141,,,ELBOW CREEK,GROUND WATER,Fresh,,
2142,,,HILLSIDE CREEK,GROUND WATER,Fresh,,
2143,,,DOUBLESPRING CREEK,GROUND WATER,Fresh,,
2144,,,BABY CREEK,GROUND WATER,Fresh,,
2145,,,INYO CREEK,GROUND WATER,Fresh,,
2146,,,MORSE CREEK,GROUND WATER,Fresh,,
2147,,,STINKING CREEK,BIG WILLOW CREEK,Fresh,,
2148,,,MAYRICK CREEK,ROCK CREEK,Fresh,,
2149,,,BOG CREEK,LITTLE WILLOW CREEK,Fresh,,
2150,,,WHEETIP CREEK,LITTLE WILLOW CREEK,Fresh,,
2151,,,BIG BEAR CREEK,LITTLE WILLOW CREEK,Fresh,,
2152,,,HORSETHIEF CREEK,LITTLE WILLOW CREEK,Fresh,,
2153,,,POWDERHORN CREEK,LITTLE WILLOW CREEK,Fresh,,
2154,,,HORSESHOE BEND CREEK,LITTLE WILLOW CREEK,Fresh,,
2155,,,MEADOW LAKE CREEK,LITTLE WILLOW CREEK,Fresh,,
2156,,,MOUNTAIN BOY CREEK,SPRINGS,Fresh,,
2157,,,NEGRO GREEN CREEK,PAYETTE RIVER,Fresh,,
2158,,,NEZ PERCE CREEK,SPRING,Fresh,,
2159,,,PURCELL CREEK,BANNER CREEK,Fresh,,
2160,,,FRANK HALL CREEK,NORTH HORNET CREEK,Fresh,,
2161,,,CHIPPIE CREEK,SPRINGS,Fresh,,
2162,,,SWAN CREEK,SPRING,Fresh,,
2163,,,ROCKY CREEK,PONDS,Fresh,,
2164,,,LITTLE MILL CREEK,SPRINGS,Fresh,,
2165,,,LITTLE MILL CREK,MONROE CREEK,Fresh,,
2166,,,SWARTZ CREEK,WILDHORSE RIVER,Fresh,,
2167,,,ZEPH CREEK,GROUSE CREEK,Fresh,,
2168,,,EVERSON CREEK,UNNAMED STREAM,Fresh,,
2169,,,STROUD CREEK,CHALLIS CREEK,Fresh,,
2170,,,WALTER CREEK,GEERTSON CREEK,Fresh,,
2171,,,DEER PARK CREEK,HAYDEN CREEK,Fresh,,
2172,,,BEAR VALLEY CREEK,SMOUT CREEK,Fresh,,
2173,,,APPLE CREEK,SMOUT CREEK,Fresh,,
2174,,,TOBIAS CREEK,SMOUT CREEK,Fresh,,
2175,,,MOGG CREEK,SMOUT CREEK,Fresh,,
2176,,,CAROLL CREEK,SMOUT CREEK,Fresh,,
2177,,,WADE CREEK,DAVIS CREEK,Fresh,,
2178,,,FORD CREEK,DAVIS CREEK,Fresh,,
2179,,,KADLETZ CREEK,DAVIS CREEK,Fresh,,
2180,,,LITTLE MEADOW CREEK,CHIPPS CREEK,Fresh,,
2181,,,KENNEY CREEK,CHIPPS CREEK,Fresh,,
2182,,,PATTEE CREEK,CHIPPS CREEK,Fresh,,
2183,,,JOE MOORE CREEK,CHIPPS CREEK,Fresh,,
2184,,,CHENEY CREEK,OTTER CREEK,Fresh,,
2185,,,HAYNES CREEK,CHIPPS CREEK,Fresh,,
2186,,,HOOD GULCH CREEK,LITTLE FOURTH OF JULY CREEK,Fresh,,
2187,,,CEDAR GULCH CREEK,UNNAMED DRAIN,Fresh,,
2188,,,PRICE CREEK,GOOSE CREEK,Fresh,,
2189,,,GARY CREEK,UNNAMED STREAMS,Fresh,,
2190,,,SHARKEY CREEK,UNNAMED STREAMS,Fresh,,
2191,,,KIRTLEY CREEK,SPRINGS,Fresh,,
2192,,,CHAMBERLAIN CREEK,WASTE WATER,Fresh,,
2193,,,MC GINTY CREEK,WASTE WATER,Fresh,,
2194,,,LEMHI LITTLE SPRING CREEK,SPRINGS,Fresh,,
2195,,,JAMES STEEL GULCH CREEK,UNNAMED DRAIN,Fresh,,
2196,,,SKULL GULCH SPRINGS,GOOSE CREEK,Fresh,,
2197,,,MAXWELL GULCH,SPRINGS,Fresh,,
2198,,,MOYER CREEK,UNNAMED STREAMS,Fresh,,
2199,,,WALLACE CREEK,SPRINGS,Fresh,,
2200,,,HUGHES CREEK,BROWN CREEK,Fresh,,
2201,,,SOUTH GULCH CREEK,UNNAMED DRAIN,Fresh,,
2202,,,PHANTOM CREEK,SPRINGS,Fresh,,
2203,,,GORLEY CREEK,COTTONWOOD CREEK,Fresh,,
2204,,,EAST BOULDER CREEK,DIVIDE CREEK,Fresh,,
2205,,,DALY CREEK,SPRINGS,Fresh,,
2206,,,LITTLE MOOSE CREEK,SPRINGS,Fresh,,
2207,,,OPAL CREEK,INDIAN CREEK,Fresh,,
2208,,,PRAIRIE BASIN CREEK,SPRINGS,Fresh,,
2209,,,PORPHYRY CREEK,UNNAMED STREAM,Fresh,,
2210,,,MUSGROVE CREEK,UNNAMED STREAM,Fresh,,
2211,,,LITTLE WOODTICK CREEK,SPRINGS,Fresh,,
2212,,,LITTLE DEEP CREEK,SPRING,Fresh,,
2213,,,SAWPIT CREEK,MEADOW CREEK,Fresh,,
2214,,,ARNETT CREEK,UNNAMED STREAMS,Fresh,,
2215,,,RAPPS CREEK,SPRINGS,Fresh,,
